# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
250000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0 0
40 1.975 0 0
41 2.025 0 0
42 2.075 0 0
43 2.125 0 0
44 2.175 0.000186262 2.31481e-05
45 2.225 0.00186885 0.000266204
46 2.275 0.0091934 0.0015162
47 2.325 0.0379964 0.00691204
48 2.375 0.10999 0.0232106
49 2.425 0.270579 0.0650116
50 2.475 0.530863 0.15044
51 2.525 0.904459 0.301928
52 2.575 1.34147 0.535597
53 2.625 1.77514 0.856933
54 2.675 2.13749 1.25874
55 2.725 2.37428 1.7219
56 2.775 2.46943 2.22146
57 2.825 2.44272 2.73359
58 2.875 2.29405 3.23172
59 2.925 2.0759 3.69829
60 2.975 1.81093 4.11935
61 3.025 1.53877 4.48925
62 3.075 1.28546 4.80856
63 3.125 1.03627 5.07441
64 3.175 0.820895 5.2918
65 3.225 0.646494 5.46844
66 3.275 0.495942 5.60818
67 3.325 0.376355 5.71748
68 3.375 0.296368 5.80616
69 3.425 0.245285 5.88175
70 3.475 0.230455 5.95486
71 3.525 0.256634 6.03863
72 3.575 0.334129 6.15081
73 3.625 0.462977 6.31063
74 3.675 0.653276 6.54241
75 3.725 0.896942 6.86936
76 3.775 1.17591 7.30958
77 3.825 1.47363 7.87596
78 3.875 1.76745 8.57315
79 3.925 2.02167 9.39133
80 3.975 2.20085 10.3049
81 4.025 2.29768 11.2827
82 4.075 2.29245 12.2828
83 4.125 2.18807 13.2608
84 4.175 2.00415 14.1785
85 4.225 1.77484 15.0108
86 4.275 1.5155 15.7384
87 4.325 1.26036 16.3577
88 4.375 1.02331 16.8723
89 4.425 0.829683 17.2991
90 4.475 0.686118 17.66
91 4.525 0.59717 17.9812
92 4.575 0.553389 18.2855
93 4.625 0.556252 18.5981
94 4.675 0.588706 18.9361
95 4.725 0.647949 19.3161
96 4.775 0.722646 19.7489
97 4.825 0.79236 20.2335
98 4.875 0.854301 20.7669
99 4.925 0.896411 21.3381
100 4.975 0.914057 21.9324
101 5.025 0.906744 22.5338
102 5.075 0.867863 23.121
103 5.125 0.811257 23.6808
104 5.175 0.742656 24.2033
105 5.225 0.669457 24.6834
106 5.275 0.602767 25.124
107 5.325 0.54966 25.5334
108 5.375 0.515557 25.9247
109 5.425 0.494289 26.3069
110 5.475 0.492125 26.6944
111 5.525 0.500333 27.0956
112 5.575 0.515602 27.5166
113 5.625 0.53503 27.9613
114 5.675 0.553098 28.4293
115 5.725 0.566882 28.9173
116 5.775 0.581607 29.4269
117 5.825 0.602585 29.964
118 5.875 0.628085 30.5335
119 5.925 0.672803 31.154
120 5.975 0.738337 31.8464
121 6.025 0.826602 32.6347
122 6.075 0.939317 33.5453
123 6.125 1.08155 34.6112
124 6.175 1.22948 35.8428
125 6.225 1.38056 37.2482
126 6.275 1.51819 38.8186
127 6.325 1.63186 40.5335
