# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
250000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0 0
40 1.975 0 0
41 2.025 0 0
42 2.075 0.000107128 1.15741e-05
43 2.125 0.00114404 0.000141204
44 2.175 0.00604525 0.000858796
45 2.225 0.0215226 0.00353241
46 2.275 0.0645236 0.011912
47 2.325 0.157142 0.0332269
48 2.375 0.311217 0.0772755
49 2.425 0.545279 0.157736
50 2.475 0.830906 0.285451
51 2.525 1.14788 0.469088
52 2.575 1.44288 0.70915
53 2.625 1.7057 1.00407
54 2.675 1.88872 1.34319
55 2.725 1.97645 1.71145
56 2.775 1.98597 2.09519
57 2.825 1.94457 2.48459
58 2.875 1.85274 2.86885
59 2.925 1.70532 3.23494
60 2.975 1.54439 3.57792
61 3.025 1.39392 3.89798
62 3.075 1.23279 4.19047
63 3.125 1.07723 4.45444
64 3.175 0.933924 4.69066
65 3.225 0.810441 4.90217
66 3.275 0.699433 5.0904
67 3.325 0.618075 5.26186
68 3.375 0.559022 5.42164
69 3.425 0.522962 5.57557
70 3.475 0.522858 5.73399
71 3.525 0.549945 5.90546
72 3.575 0.612208 6.10178
73 3.625 0.702611 6.33345
74 3.675 0.82724 6.61379
75 3.725 0.970752 6.95177
76 3.775 1.1366 7.35819
77 3.825 1.30181 7.83609
78 3.875 1.45714 8.3851
79 3.925 1.59536 9.00179
80 3.975 1.70495 9.67775
81 4.025 1.77931 10.401
82 4.075 1.80963 11.155
83 4.125 1.80319 11.9249
84 4.175 1.75994 12.6947
85 4.225 1.66902 13.4422
86 4.275 1.56676 14.1607
87 4.325 1.44371 14.8383
88 4.375 1.31514 15.4699
89 4.425 1.18657 16.0529
90 4.475 1.07058 16.5908
91 4.525 0.969196 17.0888
92 4.575 0.888386 17.5553
93 4.625 0.818576 17.9947
94 4.675 0.778396 18.4216
95 4.725 0.754278 18.8441
96 4.775 0.742853 19.2691
97 4.825 0.742084 19.7026
98 4.875 0.749005 20.1492
99 4.925 0.759022 20.6112
100 4.975 0.768062 21.0882
101 5.025 0.768601 21.5751
102 5.075 0.767858 22.0714
103 5.125 0.758727 22.5714
104 5.175 0.74787 23.074
105 5.225 0.728026 23.5727
106 5.275 0.710733 24.0689
107 5.325 0.683189 24.555
108 5.375 0.659332 25.0329
109 5.425 0.63516 25.502
110 5.475 0.612957 25.963
111 5.525 0.598722 26.4216
112 5.575 0.582373 26.8758
113 5.625 0.577078 27.3339
114 5.675 0.580357 27.8029
115 5.725 0.584071 28.2832
116 5.775 0.602291 28.7872
117 5.825 0.629443 29.3231
118 5.875 0.661388 29.8959
119 5.925 0.71093 30.5221
120 5.975 0.767731 31.2099
121 6.025 0.835116 31.9705
122 6.075 0.911889 32.815
123 6.125 0.992015 33.7488
124 6.175 1.07995 34.782
125 6.225 1.16504 35.9148
126 6.275 1.25062 37.1504
127 6.325 1.32792 38.4834
