# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
250000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0 0
40 1.975 0 0
41 2.025 0 0
42 2.075 0 0
43 2.125 0 0
44 2.175 0 0
45 2.225 0 0
46 2.275 0 0
47 2.325 0.000563466 8.33333e-05
48 2.375 0.00397494 0.000696759
49 2.425 0.0265595 0.00496991
50 2.475 0.115 0.0242431
51 2.525 0.358678 0.0868079
52 2.575 0.83974 0.239144
53 2.625 1.56044 0.533319
54 2.675 2.39278 1.00176
55 2.725 3.11211 1.63401
56 2.775 3.52556 2.37678
57 2.825 3.53392 3.14838
58 2.875 3.20493 3.87314
59 2.925 2.65216 4.49394
60 2.975 2.02284 4.98375
61 3.025 1.45076 5.34695
62 3.075 0.975291 5.59926
63 3.125 0.616192 5.76389
64 3.175 0.373458 5.86689
65 3.225 0.214797 5.92801
66 3.275 0.117523 5.96249
67 3.325 0.0614542 5.98108
68 3.375 0.0323935 5.99118
69 3.425 0.0171374 5.99668
70 3.475 0.0140974 6.00133
71 3.525 0.0248199 6.00977
72 3.575 0.06121 6.03117
73 3.625 0.149985 6.08509
74 3.675 0.32887 6.20661
75 3.725 0.642323 6.45045
76 3.775 1.10893 6.8828
77 3.825 1.72737 7.57422
78 3.875 2.38952 8.55585
79 3.925 2.9742 9.80941
80 3.975 3.34722 11.2564
81 4.025 3.39548 12.7613
82 4.075 3.12868 14.1827
83 4.125 2.60422 15.395
84 4.175 1.982 16.3402
85 4.225 1.38272 17.0155
86 4.275 0.88167 17.4563
87 4.325 0.52339 17.7242
88 4.375 0.295525 17.8789
89 4.425 0.172655 17.9714
90 4.475 0.132888 18.0442
91 4.525 0.155319 18.1312
92 4.575 0.23444 18.2655
93 4.625 0.362829 18.4778
94 4.675 0.541301 18.8015
95 4.725 0.761855 19.2668
96 4.775 0.978225 19.877
97 4.825 1.17854 20.6277
98 4.875 1.30432 21.4757
99 4.925 1.34367 22.3674
100 4.975 1.27569 23.2312
101 5.025 1.12203 24.0063
102 5.075 0.909651 24.6473
103 5.125 0.684989 25.1395
104 5.175 0.483539 25.4938
105 5.225 0.326369 25.7376
106 5.275 0.232252 25.9144
107 5.325 0.201154 26.0704
108 5.375 0.228104 26.2507
109 5.425 0.307208 26.4981
110 5.475 0.421635 26.8438
111 5.525 0.547331 27.3009
112 5.575 0.666951 27.8681
113 5.625 0.743299 28.5115
114 5.675 0.763603 29.1843
115 5.725 0.732013 29.8407
116 5.775 0.650231 30.434
117 5.825 0.55146 30.9459
118 5.875 0.463057 31.3831
119 5.925 0.418727 31.7853
120 5.975 0.445357 32.2203
121 6.025 0.572231 32.7886
122 6.075 0.811957 33.6084
123 6.125 1.14901 34.7877
124 6.175 1.54815 36.4027
125 6.225 1.94292 38.4625
126 6.275 2.25991 40.897
127 6.325 2.43229 43.5591
128 6.375 2.41572 46.2451
