# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
250000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0 0
40 1.975 7.96275e-05 6.94444e-06
41 2.025 0.000833184 8.33333e-05
42 2.075 0.00483323 0.000548611
43 2.125 0.0171729 0.00228241
44 2.175 0.0469668 0.00725
45 2.225 0.12228 0.0207847
46 2.275 0.24431 0.0490556
47 2.325 0.415486 0.0992708
48 2.375 0.636168 0.1795
49 2.425 0.879823 0.295178
50 2.475 1.11883 0.44841
51 2.525 1.3244 0.637197
52 2.575 1.48518 0.85737
53 2.625 1.5849 1.10154
54 2.675 1.62888 1.36213
55 2.725 1.61644 1.6305
56 2.775 1.58276 1.903
57 2.825 1.51113 2.17263
58 2.875 1.42889 2.43669
59 2.925 1.32923 2.69095
60 2.975 1.22408 2.93317
61 3.025 1.13174 3.16471
62 3.075 1.04997 3.38668
63 3.125 0.968719 3.59819
64 3.175 0.90055 3.80115
65 3.225 0.836986 3.99578
66 3.275 0.80843 4.18964
67 3.325 0.776976 4.38169
68 3.375 0.764169 4.5763
69 3.425 0.768853 4.77795
70 3.475 0.788196 4.99075
71 3.525 0.818715 5.21819
72 3.575 0.864671 5.46526
73 3.625 0.914912 5.73406
74 3.675 0.973778 6.02809
75 3.725 1.03699 6.34979
76 3.775 1.10294 6.7012
77 3.825 1.17012 7.08395
78 3.875 1.22615 7.49559
79 3.925 1.28719 7.93893
80 3.975 1.33388 8.41014
81 4.025 1.37594 8.90852
82 4.075 1.39935 9.42804
83 4.125 1.41394 9.96594
84 4.175 1.40763 10.5145
85 4.225 1.40412 11.0749
86 4.275 1.38196 11.6395
87 4.325 1.35368 12.2057
88 4.375 1.31789 12.7696
89 4.425 1.27263 13.3268
90 4.475 1.2227 13.8742
91 4.525 1.18044 14.4146
92 4.575 1.13365 14.9451
93 4.625 1.08504 15.464
94 4.675 1.04127 15.9728
95 4.725 0.998327 16.4711
96 4.775 0.95719 16.959
97 4.825 0.927693 17.4419
98 4.875 0.901778 17.921
99 4.925 0.878549 18.3975
100 4.975 0.854938 18.8706
101 5.025 0.840117 19.3448
102 5.075 0.826869 19.821
103 5.125 0.816561 20.3005
104 5.175 0.807581 20.784
105 5.225 0.795267 21.2694
106 5.275 0.790067 21.7609
107 5.325 0.779167 22.2549
108 5.375 0.775246 22.7556
109 5.425 0.765328 23.2592
110 5.475 0.759882 23.7685
111 5.525 0.75482 24.2836
112 5.575 0.74943 24.8044
113 5.625 0.744059 25.3307
114 5.675 0.746462 25.8682
115 5.725 0.7489 26.417
116 5.775 0.750849 26.9768
117 5.825 0.761178 27.5543
118 5.875 0.7742 28.1517
119 5.925 0.789868 28.7716
120 5.975 0.810679 29.4187
121 6.025 0.834538 30.096
122 6.075 0.866674 30.8111
123 6.125 0.896372 31.5629
124 6.175 0.931505 32.357
125 6.225 0.967434 33.1952
126 6.275 1.0029 34.0781
