# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
250000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0.000117578 6.94444e-06
40 1.975 0.000930836 6.48148e-05
41 2.025 0.00711893 0.000530093
42 2.075 0.026614 0.00235648
43 2.125 0.0819828 0.00825694
44 2.175 0.190408 0.0226134
45 2.225 0.373809 0.0521088
46 2.275 0.616903 0.102998
47 2.325 0.919112 0.182185
48 2.375 1.23677 0.293373
49 2.425 1.50281 0.434227
50 2.475 1.72071 0.602222
51 2.525 1.84258 0.789458
52 2.575 1.89101 0.989301
53 2.625 1.8818 1.19597
54 2.675 1.79415 1.40059
55 2.725 1.69488 1.60118
56 2.775 1.57015 1.79389
57 2.825 1.43794 1.97679
58 2.875 1.29769 2.14774
59 2.925 1.18083 2.30876
60 2.975 1.0789 2.46095
61 3.025 0.990155 2.60536
62 3.075 0.913812 2.74308
63 3.125 0.850583 2.87547
64 3.175 0.811196 3.0058
65 3.225 0.780806 3.13523
66 3.275 0.763566 3.26575
67 3.325 0.757682 3.39926
68 3.375 0.766995 3.5385
69 3.425 0.783072 3.68491
70 3.475 0.800764 3.83903
71 3.525 0.819598 4.00134
72 3.575 0.851573 4.1748
73 3.625 0.877196 4.35852
74 3.675 0.905217 4.55337
75 3.725 0.924644 4.75785
76 3.775 0.956428 4.97508
77 3.825 0.987169 5.20527
78 3.875 0.999001 5.44435
79 3.925 1.02209 5.69531
80 3.975 1.04311 5.95799
81 4.025 1.04595 6.22806
82 4.075 1.05449 6.50714
83 4.125 1.06238 6.79525
84 4.175 1.06345 7.09069
85 4.225 1.06628 7.39404
86 4.275 1.06567 7.70444
87 4.325 1.07166 8.02394
88 4.375 1.0628 8.34816
89 4.425 1.05906 8.67866
90 4.475 1.05903 9.01667
91 4.525 1.05453 9.3608
92 4.575 1.05458 9.71259
93 4.625 1.04389 10.0685
94 4.675 1.04425 10.4322
95 4.725 1.03359 10.8
96 4.775 1.0263 11.1729
97 4.825 1.02697 11.554
98 4.875 1.01763 11.9394
99 4.925 1.01275 12.331
100 4.975 1.00399 12.727
101 5.025 1.00188 13.1302
102 5.075 0.997688 13.5397
103 5.125 0.990232 13.9543
104 5.175 0.984157 14.3743
105 5.225 0.985122 14.803
106 5.275 0.977064 15.2363
107 5.325 0.972928 15.676
108 5.375 0.972281 16.1237
109 5.425 0.97274 16.5799
110 5.475 0.973641 17.0451
111 5.525 0.975168 17.5195
112 5.575 0.975293 18.0026
113 5.625 0.980781 18.4972
114 5.675 0.982827 19.0017
115 5.725 0.985326 19.5164
116 5.775 0.993331 20.0444
117 5.825 0.993692 20.5818
118 5.875 0.996977 21.1302
119 5.925 1.0045 21.6922
120 5.975 1.00577 22.2645
121 6.025 1.00416 22.8455
122 6.075 1.00848 23.4386
123 6.125 1.01004 24.0426
124 6.175 1.01425 24.6589
125 6.225 1.01458 25.2855
